x	y	type	ai	info	cplx	Nxy_ai	log_confidence	infOrt	trueOrt	isOrtOk	sign	partial_correlation
0000000000000010000000000000000001000	TPR	CATECHOL	TP	NA	66.5679	5.04809	1000	61.51981	2	2	Y	+	0.0194089754202974
0000000000000000010000000000001000000	MINVOL	VENTLUNG	TP	VENTALV	83.4383	29.4911	1000	53.9472	-2	-2	Y	+	0.0808277482569352
0000000001100000000000000000000000000	HREKG	ERRCAUTER	TP	HRSAT	61.5313	8.56423	1000	52.96707	-2	-2	Y	+	0.0583609128103365
0000000000000000000000000000000011000	ARTCO2	CATECHOL	TP	NA	45.9314	4.67764	1000	41.25376	2	2	Y	+	0.29816433686663
0000000000000001000000001000000000000	EXPCO2	INTUBATION	FP	NA	49.9301	10.9367	1000	38.9934	-2	NA	NA	+	0.135886468276492
0000000001000000000000000000000000100	HREKG	HR	TP	HRSAT	48.8156	14.0684	1000	34.7472	-2	-2	Y	+	0.235210069972939
0000000000000000000001100000000000000	PAP	PULMEMBOLUS	TP	NA	32.7084	3.782	1000	28.9264	1	-2	Y	+	0.215381915667928
0000000000000000000000110000000000000	PULMEMBOLUS	SHUNT	TP	NA	30.0409	2.11113	1000	27.92977	2	2	Y	+	0.348720259013686
0000000000000001000000000000000010000	EXPCO2	ARTCO2	TP	VENTALV	46.3707	19.073	1000	27.2977	-2	-2	Y	+	0.257203051491975
0000011000000000000000000000000000000	LVFAILURE	STROKEVOLUME	TP	LVEDVOLUME	34.2702	7.16678	1000	27.10342	2	2	Y	+	0.280392408945565
0000000000000000000000000000011000000	VENTTUBE	VENTLUNG	TP	MINVOL	54.9836	31.2262	1000	23.7574	2	2	Y	+	0.343573175938811
0000000000000000010000001000000000000	MINVOL	INTUBATION	TP	VENTALV	42.1032	20.9196	1000	21.1836	-2	-2	Y	+	0.244151151084948
0000000000000000000000000100000100000	PRESS	VENTALV	FP	NA	39.9139	19.129	1000	20.7849	-2	NA	NA	+	0.0217245493454748
0001001000000000000000000000000000000	HYPOVOLEMIA	STROKEVOLUME	TP	LVEDVOLUME	25.4608	9.75089	1000	15.70991	2	2	Y	+	0.100489187466234
0000000000000000001100000000000000000	FIO2	PVSAT	TP	NA	19.8814	4.33187	1000	15.54953	2	2	Y	+	0.103499641373287
0000000000000000100000000100000000000	KINKEDTUBE	PRESS	TP	NA	20.1273	6.36537	1000	13.76193	-2	2	N	+	0.157880590783202
0000000000000000000010010000000000000	SAO2	SHUNT	TP	NA	15.8702	4.66296	1000	11.20724	-2	-2	Y	-	-0.0284090924573084
0000000000000110000000000000000000000	ANAPHYLAXIS	TPR	TP	NA	11.4073	4.217	1000	7.1903	1	2	Y	+	0.128311750937621
0010000000000000000000010000000000000	PCWP	SHUNT	FP	NA	5.49417	4.98637	1000	0.5078	-2	NA	NA	-	-0.0556789906950469
0000001000000000000001000000000000000	STROKEVOLUME	PAP	FP	NA	9.03	8.5536	1000	0.4764	2	NA	NA	-	-0.0707609506596281
0000000000000000101000000000000000000	KINKEDTUBE	FIO2	FP	NA	2.58056	2.1351	1000	0.44546	2	NA	NA	+	0.0877290632972852
0000000000000000100010000000000000000	KINKEDTUBE	SAO2	TN	NA	4.05861	4.20153	1000	-0.14292	0	NA	NA	NA	NA
0000000000000001000000000000000001000	EXPCO2	CATECHOL	TN	NA	6.0908	6.26148	1000	-0.17068	0	NA	NA	NA	NA
0000000010000000000000000000100000000	HRBP	VENTMACH	TN	NA	12.2052	12.4417	1000	-0.236500000000001	0	NA	NA	NA	NA
0000000000000000110000000000000000000	KINKEDTUBE	MINVOL	TN	NA	5.44618	6.02935	1000	-0.58317	0	NA	NA	NA	NA
0000000000000001000000000000100000000	EXPCO2	VENTMACH	TN	NA	15.8651	16.4492	1000	-0.584100000000001	0	NA	NA	NA	NA
0000000000010000000000000000100000000	HRSAT	VENTMACH	TN	NA	12.1424	12.7717	1000	-0.629299999999999	0	NA	NA	NA	NA
0000000000000000000100010000000000000	PVSAT	SHUNT	TN	NA	3.96878	4.62271	1000	-0.653929999999999	0	NA	NA	NA	NA
0000100000000100000000000000000000000	LVEDVOLUME	ANAPHYLAXIS	TN	NA	3.26277	3.94477	1000	-0.682	0	NA	NA	NA	NA
0000000000010000000000000010000000000	HRSAT	DISCONNECT	TN	NA	4.21146	4.92953	1000	-0.71807	0	NA	NA	NA	NA
0000000000100000000000010000000000000	ERRCAUTER	SHUNT	TN	NA	1.7444	2.53499	1000	-0.79059	0	NA	NA	NA	NA
0000000000100001000000000000000000000	ERRCAUTER	EXPCO2	TN	NA	5.70479	6.51147	1000	-0.80668	0	NA	NA	NA	NA
0000000000000100000000000000000010000	ANAPHYLAXIS	ARTCO2	TN	NA	2.98249	3.84655	1000	-0.86406	0	NA	NA	NA	NA
0000000000000000000000100000000001000	PULMEMBOLUS	CATECHOL	TN	NA	1.11339	2.04455	1000	-0.93116	0	NA	NA	NA	NA
0001000000000100000000000000000000000	HYPOVOLEMIA	ANAPHYLAXIS	TN	BP	3.15878	4.11125	1000	-0.95247	0	NA	NA	NA	NA
0000000000000000001000000000000001000	FIO2	CATECHOL	TN	NA	1.34701	2.30253	1000	-0.95552	0	NA	NA	NA	NA
0000000000000100000000010000000000000	ANAPHYLAXIS	SHUNT	TN	NA	1.02574	2.02527	1000	-0.99953	0	NA	NA	NA	NA
0000000010001000000000000000000000000	HRBP	INSUFFANESTH	TN	NA	3.7634	4.81696	1000	-1.05356	0	NA	NA	NA	NA
0100000000000100000000000000000000000	CVP	ANAPHYLAXIS	TN	NA	2.89362	3.94973	1000	-1.05611	0	NA	NA	NA	NA
0000000000000000100000000000000010000	KINKEDTUBE	ARTCO2	TN	NA	3.24015	4.34783	1000	-1.10768	0	NA	NA	NA	NA
0000000000000000000000000000010000100	VENTTUBE	HR	TN	NA	10.3543	11.533	1000	-1.1787	0	NA	NA	NA	NA
0000000000000000100000000010000000000	KINKEDTUBE	DISCONNECT	TN	NA	1.08764	2.28669	1000	-1.19905	0	NA	NA	NA	NA
0000000000000000001000100000000000000	FIO2	PULMEMBOLUS	TN	NA	0.759475	1.96383	1000	-1.204355	0	NA	NA	NA	NA
0000000000000100000000000000000001000	ANAPHYLAXIS	CATECHOL	TN	NA	0.740313	1.95868	1000	-1.218367	0	NA	NA	NA	NA
0001000000000000000000100000000000000	HYPOVOLEMIA	PULMEMBOLUS	TN	NA	0.997161	2.24876	1000	-1.251599	0	NA	NA	NA	NA
0000000000000000000000010001000000000	SHUNT	MINVOLSET	TN	NA	3.14766	4.47871	1000	-1.33105	0	NA	NA	NA	NA
0000000000000100000000000000000100000	ANAPHYLAXIS	VENTALV	TN	NA	4.11471	5.45195	1000	-1.33724	0	NA	NA	NA	NA
0000000000000000100000000000001000000	KINKEDTUBE	VENTLUNG	FN	NA	4.43903	5.78663	1000	-1.3476	0	2	Y	NA	NA
0000000000000000000001000000000000010	PAP	CO	TN	NA	7.78709	9.14529	1000	-1.3582	0	NA	NA	NA	NA
0000000000000000100000100000000000000	KINKEDTUBE	PULMEMBOLUS	TN	NA	0.50723	1.87712	1000	-1.36989	0	NA	NA	NA	NA
0000000000000100001000000000000000000	ANAPHYLAXIS	FIO2	TN	NA	0.505006	1.87796	1000	-1.372954	0	NA	NA	NA	NA
1000000000000100000000000000000000000	HISTORY	ANAPHYLAXIS	TN	NA	0.483887	1.86884	1000	-1.384953	0	NA	NA	NA	NA
0000010000000100000000000000000000000	LVFAILURE	ANAPHYLAXIS	TN	NA	0.452291	1.85438	1000	-1.402089	0	NA	NA	NA	NA
0000000000000000000000000010000000100	DISCONNECT	HR	TN	NA	3.05438	4.45967	1000	-1.40529	0	NA	NA	NA	NA
0000000000001000000000010000000000000	INSUFFANESTH	SHUNT	TN	NA	1.11507	2.5207	1000	-1.40563	0	NA	NA	NA	NA
0000000000000000000000100010000000000	PULMEMBOLUS	DISCONNECT	TN	NA	0.695993	2.11542	1000	-1.419427	0	NA	NA	NA	NA
0000000000000100100000000000000000000	ANAPHYLAXIS	KINKEDTUBE	TN	NA	0.337286	1.79125	1000	-1.453964	0	NA	NA	NA	NA
0000000000000100000000100000000000000	ANAPHYLAXIS	PULMEMBOLUS	TN	NA	0.151903	1.61999	1000	-1.468087	0	NA	NA	NA	NA
0001000100000000000000000000000000000	HYPOVOLEMIA	ERRLOWOUTPUT	TN	NA	1.0232	2.5155	1000	-1.4923	0	NA	NA	NA	NA
0000000000000000000010000000000000010	SAO2	CO	TN	NA	7.81985	9.3137	1000	-1.49385	0	NA	NA	NA	NA
0000010000000000000000010000000000000	LVFAILURE	SHUNT	TN	NA	0.846031	2.34553	1000	-1.499499	0	NA	NA	NA	NA
0000000000001000000000000010000000000	INSUFFANESTH	DISCONNECT	TN	NA	1.02528	2.52499	1000	-1.49971	0	NA	NA	NA	NA
0000000100001000000000000000000000000	ERRLOWOUTPUT	INSUFFANESTH	TN	NA	0.879789	2.38216	1000	-1.502371	0	NA	NA	NA	NA
0000000000000000001010000000000000000	FIO2	SAO2	TN	PVSAT	5.49289	6.99769	1000	-1.5048	0	NA	NA	NA	NA
0000000000000010000000000000000000010	TPR	CO	TN	NA	8.82806	10.3352	1000	-1.50714	0	NA	NA	NA	NA
0000000000001000000000000000010000000	INSUFFANESTH	VENTTUBE	TN	NA	5.09339	6.62323	1000	-1.52984	0	NA	NA	NA	NA
0000000000001000000000000000000001000	INSUFFANESTH	CATECHOL	FN	NA	0.899432	2.45412	1000	-1.554688	0	2	Y	NA	NA
0001000000000000000000000010000000000	HYPOVOLEMIA	DISCONNECT	TN	NA	1.04141	2.65833	1000	-1.61692	0	NA	NA	NA	NA
0000000000000000100000000000000100000	KINKEDTUBE	VENTALV	TN	NA	4.56249	6.1872	1000	-1.62471	0	NA	NA	NA	NA
1000000100000000000000000000000000000	HISTORY	ERRLOWOUTPUT	TN	NA	0.565402	2.22144	1000	-1.656038	0	NA	NA	NA	NA
0000000100000000000000000001000000000	ERRLOWOUTPUT	MINVOLSET	TN	NA	2.53723	4.20512	1000	-1.66789	0	NA	NA	NA	NA
0000000100000100000000000000000000000	ERRLOWOUTPUT	ANAPHYLAXIS	TN	NA	0.198731	1.88672	1000	-1.687989	0	NA	NA	NA	NA
0000000000000000000000000000000100010	VENTALV	CO	TN	NA	11.9908	13.7138	1000	-1.723	0	NA	NA	NA	NA
0000000000000100000000000000000000100	ANAPHYLAXIS	HR	TN	NA	1.76511	3.48847	1000	-1.72336	0	NA	NA	NA	NA
0000000000000000000000000001000000100	MINVOLSET	HR	TN	NA	6.0941	7.81809	1000	-1.72399	0	NA	NA	NA	NA
0000000000000000000000000000010010000	VENTTUBE	ARTCO2	TN	MINVOL	23.1629	24.8876	1000	-1.7247	0	NA	NA	NA	NA
0000010100000000000000000000000000000	LVFAILURE	ERRLOWOUTPUT	TN	NA	0.47068	2.20698	1000	-1.7363	0	NA	NA	NA	NA
1000000000000000000000000010000000000	HISTORY	DISCONNECT	TN	NA	0.610703	2.36427	1000	-1.753567	0	NA	NA	NA	NA
0000000000001000000000001000000000000	INSUFFANESTH	INTUBATION	TN	NA	2.56306	4.36483	1000	-1.80177	0	NA	NA	NA	NA
0000010000000000000001000000000000000	LVFAILURE	PAP	TN	NA	2.42605	4.24111	1000	-1.81506	0	NA	NA	NA	NA
0000000000000000100001000000000000000	KINKEDTUBE	PAP	TN	NA	2.28528	4.11698	1000	-1.8317	0	NA	NA	NA	NA
0000000000000100000000000000000000010	ANAPHYLAXIS	CO	TN	NA	2.22313	4.06348	1000	-1.84035	0	NA	NA	NA	NA
0000000000000001000000000010000000000	EXPCO2	DISCONNECT	TN	NA	4.62196	6.46947	1000	-1.84751	0	NA	NA	NA	NA
1000000000100000000000000000000000000	HISTORY	ERRCAUTER	TN	NA	0.527995	2.37856	1000	-1.850565	0	NA	NA	NA	NA
0000000000100000000000000001000000000	ERRCAUTER	MINVOLSET	TN	NA	2.6632	4.51547	1000	-1.85227	0	NA	NA	NA	NA
0000010000000000000000100000000000000	LVFAILURE	PULMEMBOLUS	TN	NA	0.0809769	1.94024	1000	-1.8592631	0	NA	NA	NA	NA
0000000000000000001000000010000000000	FIO2	DISCONNECT	TN	NA	0.498657	2.3734	1000	-1.874743	0	NA	NA	NA	NA
1000000000000000000000100000000000000	HISTORY	PULMEMBOLUS	TN	NA	0.0586108	1.9547	1000	-1.8960892	0	NA	NA	NA	NA
0000000100000000000000100000000000000	ERRLOWOUTPUT	PULMEMBOLUS	TN	NA	0.03541	1.97259	1000	-1.93718	0	NA	NA	NA	NA
1000000000000000000000000000000001000	HISTORY	CATECHOL	TN	NA	0.347547	2.2934	1000	-1.945853	0	NA	NA	NA	NA
0000000000000000000010100000000000000	SAO2	PULMEMBOLUS	TN	NA	1.91083	3.86656	1000	-1.95573	0	NA	NA	NA	NA
0000010000100000000000000000000000000	LVFAILURE	ERRCAUTER	TN	NA	0.390135	2.3641	1000	-1.973965	0	NA	NA	NA	NA
1000000000001000000000000000000000000	HISTORY	INSUFFANESTH	TN	NA	0.38414	2.36427	1000	-1.98013	0	NA	NA	NA	NA
1000000000000000100000000000000000000	HISTORY	KINKEDTUBE	TN	NA	0.12039	2.12597	1000	-2.00558	0	NA	NA	NA	NA
1000000000000000000000010000000000000	HISTORY	SHUNT	TN	NA	0.346302	2.35998	1000	-2.013678	0	NA	NA	NA	NA
0000010000000000000000000000000000010	LVFAILURE	CO	TN	STROKEVOLUME	4.22891	6.24741	1000	-2.0185	0	NA	NA	NA	NA
0000010000000000000000000000000001000	LVFAILURE	CATECHOL	TN	NA	0.257347	2.27894	1000	-2.021593	0	NA	NA	NA	NA
0000010000000000000000000010000000000	LVFAILURE	DISCONNECT	TN	NA	0.32773	2.34981	1000	-2.02208	0	NA	NA	NA	NA
0000000000001000000000100000000000000	INSUFFANESTH	PULMEMBOLUS	TN	NA	0.0919158	2.11542	1000	-2.0235042	0	NA	NA	NA	NA
0000010000000000100000000000000000000	LVFAILURE	KINKEDTUBE	TN	NA	0.0847836	2.11151	1000	-2.0267264	0	NA	NA	NA	NA
0000000000001100000000000000000000000	INSUFFANESTH	ANAPHYLAXIS	TN	NA	5.64535e-05	2.02956	1000	-2.0295035465	0	NA	NA	NA	NA
0000000000000100000000000010000000000	ANAPHYLAXIS	DISCONNECT	TN	NA	5.64535e-05	2.02956	1000	-2.0295035465	0	NA	NA	NA	NA
0000010000000000001000000000000000000	LVFAILURE	FIO2	TN	NA	0.163684	2.19822	1000	-2.034536	0	NA	NA	NA	NA
0000000000100100000000000000000000000	ERRCAUTER	ANAPHYLAXIS	TN	NA	0.00195117	2.04384	1000	-2.04188883	0	NA	NA	NA	NA
0000000000100000000000100000000000000	ERRCAUTER	PULMEMBOLUS	TN	NA	0.0560604	2.12971	1000	-2.0736496	0	NA	NA	NA	NA
0000010000001000000000000000000000000	LVFAILURE	INSUFFANESTH	TN	NA	0.270841	2.34981	1000	-2.078969	0	NA	NA	NA	NA
1000000000000000000000000001000000000	HISTORY	MINVOLSET	TN	NA	2.09007	4.16989	1000	-2.07982	0	NA	NA	NA	NA
1000000000000000001000000000000000000	HISTORY	FIO2	TN	NA	0.107158	2.21268	1000	-2.105522	0	NA	NA	NA	NA
0000000010000100000000000000000000000	HRBP	ANAPHYLAXIS	TN	NA	1.73456	3.84577	1000	-2.11121	0	NA	NA	NA	NA
0000000100000000100000000000000000000	ERRLOWOUTPUT	KINKEDTUBE	TN	NA	0.0308241	2.14385	1000	-2.1130259	0	NA	NA	NA	NA
0000000000000000000010000000010000000	SAO2	VENTTUBE	TN	MINVOL	21.0976	23.2408	1000	-2.1432	0	NA	NA	NA	NA
0000000000100000000000000010000000000	ERRCAUTER	DISCONNECT	TN	NA	0.394065	2.53928	1000	-2.145215	0	NA	NA	NA	NA
0000000000000000010000000000000000100	MINVOL	HR	TN	NA	9.5696	11.7329	1000	-2.1633	0	NA	NA	NA	NA
0000000000000000000000010010000000000	SHUNT	DISCONNECT	TN	NA	0.346103	2.5207	1000	-2.174597	0	NA	NA	NA	NA
0001000000000000100000000000000000000	HYPOVOLEMIA	KINKEDTUBE	TN	NA	0.242106	2.42003	1000	-2.177924	0	NA	NA	NA	NA
0000000100000000001000000000000000000	ERRLOWOUTPUT	FIO2	TN	NA	0.0526091	2.23056	1000	-2.1779509	0	NA	NA	NA	NA
0000000000000000100000000000000001000	KINKEDTUBE	CATECHOL	TN	NA	0.0292626	2.21581	1000	-2.1865474	0	NA	NA	NA	NA
0000000000001000100000000000000000000	INSUFFANESTH	KINKEDTUBE	TN	NA	0.0889209	2.28669	1000	-2.1977691	0	NA	NA	NA	NA
0000000000000000000000000000000010001	ARTCO2	BP	TN	NA	7.66793	9.88794	1000	-2.22001	0	NA	NA	NA	NA
0000000000000000000000100001000000000	PULMEMBOLUS	MINVOLSET	TN	NA	1.46016	3.68232	1000	-2.22216	0	NA	NA	NA	NA
0000000000001000001000000000000000000	INSUFFANESTH	FIO2	TN	NA	0.149341	2.3734	1000	-2.224059	0	NA	NA	NA	NA
0000000010000000000000000010000000000	HRBP	DISCONNECT	TN	NA	2.59098	4.81696	1000	-2.22598	0	NA	NA	NA	NA
0000000100000000000000000000000001000	ERRLOWOUTPUT	CATECHOL	TN	NA	0.06371	2.31128	1000	-2.24757	0	NA	NA	NA	NA
0000000000100000100000000000000000000	ERRCAUTER	KINKEDTUBE	TN	NA	0.0400843	2.30097	1000	-2.2608857	0	NA	NA	NA	NA
0000000100000000000000010000000000000	ERRLOWOUTPUT	SHUNT	TN	NA	0.112101	2.37787	1000	-2.265769	0	NA	NA	NA	NA
0000000000000000100000010000000000000	KINKEDTUBE	SHUNT	TN	NA	0.0073618	2.2824	1000	-2.2750382	0	NA	NA	NA	NA
0000000000010100000000000000000000000	HRSAT	ANAPHYLAXIS	TN	NA	1.66688	3.95833	1000	-2.29145	0	NA	NA	NA	NA
0000000000000000001000010000000000000	FIO2	SHUNT	TN	NA	0.07284	2.36911	1000	-2.29627	0	NA	NA	NA	NA
0100000000000000000000100000000000000	CVP	PULMEMBOLUS	TN	NA	1.8173	4.11604	1000	-2.29874	0	NA	NA	NA	NA
0000000000010000010000000000000000000	HRSAT	MINVOL	TN	NA	10.7829	13.0938	1000	-2.3109	0	NA	NA	NA	NA
0000000000100000001000000000000000000	ERRCAUTER	FIO2	TN	NA	0.0706057	2.38769	1000	-2.3170843	0	NA	NA	NA	NA
0000000001000100000000000000000000000	HREKG	ANAPHYLAXIS	TN	NA	1.61301	3.94936	1000	-2.33635	0	NA	NA	NA	NA
0001000000000000001000000000000000000	HYPOVOLEMIA	FIO2	TN	NA	0.147835	2.50674	1000	-2.358905	0	NA	NA	NA	NA
0000000100100000000000000000000000000	ERRLOWOUTPUT	ERRCAUTER	TN	NA	0.01836	2.39644	1000	-2.37808	0	NA	NA	NA	NA
0000000000000000000000010000000001000	SHUNT	CATECHOL	TN	NA	0.0706714	2.44983	1000	-2.3791586	0	NA	NA	NA	NA
0000000100000000000000000010000000000	ERRLOWOUTPUT	DISCONNECT	TN	NA	0.000278839	2.38216	1000	-2.381881161	0	NA	NA	NA	NA
0000000000000000100100000000000000000	KINKEDTUBE	PVSAT	TN	NA	1.77699	4.16129	1000	-2.3843	0	NA	NA	NA	NA
0000000000000100000000001000000000000	ANAPHYLAXIS	INTUBATION	TN	NA	1.00238	3.39364	1000	-2.39126	0	NA	NA	NA	NA
1001000000000000000000000000000000000	HISTORY	HYPOVOLEMIA	TN	NA	0.0920537	2.49762	1000	-2.4055663	0	NA	NA	NA	NA
0000000000000000100000000001000000000	KINKEDTUBE	MINVOLSET	TN	NA	1.58805	4.01729	1000	-2.42924	0	NA	NA	NA	NA
0000000000100000000000000000000001000	ERRCAUTER	CATECHOL	TN	NA	0.0225676	2.4684	1000	-2.4458324	0	NA	NA	NA	NA
0000000000000000000000101000000000000	PULMEMBOLUS	INTUBATION	TN	NA	1.11339	3.55995	1000	-2.44656	0	NA	NA	NA	NA
0001010000000000000000000000000000000	HYPOVOLEMIA	LVFAILURE	TN	NA	0.0221828	2.48316	1000	-2.4609772	0	NA	NA	NA	NA
0001000000100000000000000000000000000	HYPOVOLEMIA	ERRCAUTER	TN	NA	0.195266	2.67262	1000	-2.477354	0	NA	NA	NA	NA
0001000000001000000000000000000000000	HYPOVOLEMIA	INSUFFANESTH	TN	NA	0.179273	2.65833	1000	-2.479057	0	NA	NA	NA	NA
0000000000101000000000000000000000000	ERRCAUTER	INSUFFANESTH	TN	NA	0.0146173	2.53928	1000	-2.5246627	0	NA	NA	NA	NA
0000000000000000000001001000000000000	PAP	INTUBATION	TN	NA	5.28351	7.82316	1000	-2.53965	0	NA	NA	NA	NA
0001000000000000000000000000000001000	HYPOVOLEMIA	CATECHOL	TN	NA	0.0294365	2.58746	1000	-2.5580235	0	NA	NA	NA	NA
0000001000000000000000010000000000000	STROKEVOLUME	SHUNT	TN	NA	2.14314	4.72654	1000	-2.5834	0	NA	NA	NA	NA
0001000000000000000000010000000000000	HYPOVOLEMIA	SHUNT	TN	NA	0.0503047	2.65405	1000	-2.6037453	0	NA	NA	NA	NA
1100000000000000000000000000000000000	HISTORY	CVP	TN	LVEDVOLUME	5.05207	7.68956	1000	-2.63749	0	NA	NA	NA	NA
0000000001000000010000000000000000000	HREKG	MINVOL	TN	NA	10.4248	13.0674	1000	-2.6426	0	NA	NA	NA	NA
0000001000000000000000000000001000000	STROKEVOLUME	VENTLUNG	TN	NA	9.39512	12.0504	1000	-2.65528	0	NA	NA	NA	NA
0000100000000000000000010000000000000	LVEDVOLUME	SHUNT	TN	NA	2.25092	4.90748	1000	-2.65656	0	NA	NA	NA	NA
0000000000100000000000001000000000000	ERRCAUTER	INTUBATION	TN	NA	1.66183	4.3931	1000	-2.73127	0	NA	NA	NA	NA
0001000000000000000000000000000010000	HYPOVOLEMIA	ARTCO2	TN	NA	2.3405	5.08191	1000	-2.74141	0	NA	NA	NA	NA
0000000100000000000000001000000000000	ERRLOWOUTPUT	INTUBATION	TN	NA	1.32185	4.08275	1000	-2.7609	0	NA	NA	NA	NA
0000010000000000000000000100000000000	LVFAILURE	PRESS	TN	NA	3.78165	6.54875	1000	-2.7671	0	NA	NA	NA	NA
0000000000001000000001000000000000000	INSUFFANESTH	PAP	TN	NA	1.8187	4.58689	1000	-2.76819	0	NA	NA	NA	NA
0000000001000000000000000000100000000	HREKG	VENTMACH	TN	NA	9.96627	12.7452	1000	-2.77893	0	NA	NA	NA	NA
0000000010000000000000000000001000000	HRBP	VENTLUNG	TN	NA	9.43947	12.2881	1000	-2.84863	0	NA	NA	NA	NA
0000000000000100000000000001000000000	ANAPHYLAXIS	MINVOLSET	TN	NA	0.65084	3.51601	1000	-2.86517	0	NA	NA	NA	NA
0000001000000000000000000010000000000	STROKEVOLUME	DISCONNECT	TN	NA	1.86738	4.73503	1000	-2.86765	0	NA	NA	NA	NA
0000000000000000000001000010000000000	PAP	DISCONNECT	TN	NA	1.69487	4.58689	1000	-2.89202	0	NA	NA	NA	NA
0001000000000000000000000000000000010	HYPOVOLEMIA	CO	TN	STROKEVOLUME	5.94051	8.84687	1000	-2.90636	0	NA	NA	NA	NA
0000000000000000100000001000000000000	KINKEDTUBE	INTUBATION	TN	NA	0.95079	3.89493	1000	-2.94414	0	NA	NA	NA	NA
0001000000000000000001000000000000000	HYPOVOLEMIA	PAP	TN	NA	1.8978	4.85106	1000	-2.95326	0	NA	NA	NA	NA
0000000000000000001000001000000000000	FIO2	INTUBATION	TN	NA	1.10929	4.0655	1000	-2.95621	0	NA	NA	NA	NA
0000000000000000000100100000000000000	PVSAT	PULMEMBOLUS	TN	NA	0.791716	3.82631	1000	-3.034594	0	NA	NA	NA	NA
