x	y	z.name	ui.vect	zi.vect	Ixy_ui	cplx	Rxyz_ui	category	Nxy_ui
0000000000000010000000000000000000001	TPR	BP	NA	NA	HRBP,HREKG,HRSAT,ANAPHYLAXIS,CATECHOL,HR,HISTORY,PCWP,HYPOVOLEMIA,LVEDVOLUME,LVFAILURE,STROKEVOLUME,CO	331.936	10.6214	0	3	1000
0000001000000000000000000000000000010	STROKEVOLUME	CO	NA	NA	HISTORY,CVP,PCWP,HYPOVOLEMIA,LVEDVOLUME,LVFAILURE,PAP,BP,HRBP,HREKG,HRSAT,PVSAT,VENTLUNG,ARTCO2,CATECHOL,HR	329.981	9.43905	0	3	1000
0000000000000000000000000000110000000	VENTMACH	VENTTUBE	NA	NA	MINVOL,PVSAT,SAO2,PRESS,MINVOLSET,VENTLUNG,VENTALV,ARTCO2,CATECHOL,HR,EXPCO2,DISCONNECT	317.073	16.9087	0	3	1000
0000000000000000000000000001100000000	MINVOLSET	VENTMACH	NA	NA	EXPCO2,MINVOL,PVSAT,SAO2,PRESS,VENTTUBE,VENTLUNG,VENTALV,ARTCO2,CATECHOL,HR	278.367	11.4757	0	3	1000
0001100000000000000000000000000000000	HYPOVOLEMIA	LVEDVOLUME	NA	NA	CVP,PCWP,STROKEVOLUME,ANAPHYLAXIS,CO,BP,HISTORY,LVFAILURE	276.516	5.18013	0	3	1000
0000000000000000010000000000010000000	MINVOL	VENTTUBE	NA	NA	EXPCO2,PVSAT,SAO2,SHUNT,INTUBATION,PRESS,DISCONNECT,MINVOLSET,VENTMACH,VENTLUNG,VENTALV,ARTCO2,CATECHOL	238.406	17.3894	0	3	1000
0000000000000000000000000000000000110	HR	CO	NA	NA	HRBP,HREKG,HRSAT,TPR,PVSAT,SAO2,VENTMACH,VENTLUNG,VENTALV,ARTCO2,CATECHOL,BP,HISTORY,CVP,PCWP,HYPOVOLEMIA,LVEDVOLUME,LVFAILURE,STROKEVOLUME	230.38	8.90001	0	3	1000
0000000000110000000000000000000000000	ERRCAUTER	HRSAT	NA	NA	HREKG,HRBP,TPR,PVSAT,SAO2,VENTLUNG,VENTALV,ARTCO2,CATECHOL,HR,CO,BP	217.559	4.9578	0	3	1000
0000000000000001000000000000001000000	EXPCO2	VENTLUNG	NA	NA	MINVOL,PVSAT,SAO2,SHUNT,INTUBATION,PRESS,MINVOLSET,VENTTUBE,VENTALV,ARTCO2,HREKG,HRSAT,DISCONNECT,VENTMACH,CATECHOL,HR,CO	189.442	16.2293	0	3	1000
0000000000000000000000000010010000000	DISCONNECT	VENTTUBE	NA	NA	MINVOL,PVSAT,SAO2,PRESS,VENTLUNG,VENTALV,ARTCO2,CATECHOL,EXPCO2,MINVOLSET,VENTMACH	179.289	6.62323	0	3	1000
0000000000000000000000001000000100000	INTUBATION	VENTALV	NA	NA	EXPCO2,MINVOL,PVSAT,SAO2,SHUNT,PRESS,VENTLUNG,ARTCO2,HRBP,HREKG,HRSAT,DISCONNECT,MINVOLSET,VENTMACH,VENTTUBE,CATECHOL,HR	154.311	11.7537	0	3	1000
0000000110000000000000000000000000000	ERRLOWOUTPUT	HRBP	NA	NA	HREKG,HRSAT,TPR,PVSAT,SAO2,VENTALV,ARTCO2,CATECHOL,HR,CO,BP	143.973	4.53488	0	3	1000
0000000000000000000000000100010000000	PRESS	VENTTUBE	NA	NA	EXPCO2,KINKEDTUBE,MINVOL,PVSAT,SAO2,SHUNT,INTUBATION,DISCONNECT,MINVOLSET,VENTMACH,VENTLUNG,VENTALV,ARTCO2,CATECHOL	137.781	18.3768	0	3	1000
1000010000000000000000000000000000000	HISTORY	LVFAILURE	NA	NA	CVP,PCWP,LVEDVOLUME,STROKEVOLUME,CO,BP	134.789	2.1891	0	3	1000
0000110000000000000000000000000000000	LVEDVOLUME	LVFAILURE	NA	NA	HISTORY,CVP,PCWP,HYPOVOLEMIA,STROKEVOLUME,CO,BP	120.509	4.57018	0	3	1000
0000000000000000000000000000000001100	CATECHOL	HR	NA	NA	HRBP,HREKG,HRSAT,TPR,MINVOL,PVSAT,SAO2,DISCONNECT,MINVOLSET,VENTMACH,VENTTUBE,VENTLUNG,VENTALV,ARTCO2,CO,BP	120.113	4.31957	0	3	1000
0000000000000000000000000000000000011	CO	BP	NA	NA	HISTORY,CVP,PCWP,HYPOVOLEMIA,LVEDVOLUME,LVFAILURE,STROKEVOLUME,HRBP,HREKG,HRSAT,PVSAT,VENTLUNG,ARTCO2,CATECHOL,HR,ANAPHYLAXIS,TPR	119.381	10.3169	0	3	1000
0000000000000000000000011000000000000	SHUNT	INTUBATION	NA	NA	PCWP,EXPCO2,MINVOL,SAO2,PAP,PULMEMBOLUS,PRESS,VENTLUNG,VENTALV,ARTCO2,PVSAT	115.601	4.35635	0	3	1000
0000101000000000000000000000000000000	LVEDVOLUME	STROKEVOLUME	NA	NA	HISTORY,CVP,PCWP,HYPOVOLEMIA,LVFAILURE,CO,BP,PAP	97.1852	9.20424	0	3	1000
0000000000000000010000000000001000000	MINVOL	VENTLUNG	NA	VENTALV	EXPCO2,SHUNT,INTUBATION,PRESS,DISCONNECT,MINVOLSET,VENTTUBE,CATECHOL,HREKG,HRSAT,HR,CO	83.4383	29.4911	0	3	1000
0000000000000010000000000000000001000	TPR	CATECHOL	NA	NA	HRBP,HREKG,HRSAT,ANAPHYLAXIS,HR,BP,MINVOL,PVSAT,SAO2,DISCONNECT,MINVOLSET,VENTMACH,VENTTUBE,VENTLUNG,VENTALV,ARTCO2,CO	66.5679	5.04809	0	3	1000
0000000001100000000000000000000000000	HREKG	ERRCAUTER	NA	HRSAT	HR	61.5313	8.56423	0	3	1000
0000000000000000000000000000011000000	VENTTUBE	VENTLUNG	NA	MINVOL	EXPCO2,PRESS,DISCONNECT,VENTMACH,VENTALV	54.9836	31.2262	0	3	1000
0000000000000001000000001000000000000	EXPCO2	INTUBATION	NA	NA	MINVOL,PVSAT,SAO2,SHUNT,PRESS,MINVOLSET,VENTTUBE,VENTLUNG,VENTALV,ARTCO2	49.9301	10.9367	0	3	1000
0000000001000000000000000000000000100	HREKG	HR	NA	HRSAT	HRBP,ERRCAUTER,TPR,PVSAT,SAO2,VENTLUNG,VENTALV,ARTCO2,CATECHOL,CO,BP,VENTMACH	48.8156	14.0684	0	3	1000
0000000000000001000000000000000010000	EXPCO2	ARTCO2	NA	VENTALV	INTUBATION,VENTLUNG,HRBP,CATECHOL,CO	46.3707	19.073	0	3	1000
0000000000000000000000000000000011000	ARTCO2	CATECHOL	NA	NA	HRBP,HREKG,HRSAT,EXPCO2,MINVOL,PVSAT,SAO2,SHUNT,INTUBATION,PRESS,DISCONNECT,MINVOLSET,VENTMACH,VENTTUBE,VENTLUNG,VENTALV,HR,CO,TPR,BP	45.9314	4.67764	0	3	1000
0000000000000000010000001000000000000	MINVOL	INTUBATION	NA	VENTALV	EXPCO2,PVSAT,SAO2,SHUNT,PRESS,DISCONNECT,VENTTUBE,VENTLUNG,ARTCO2,CATECHOL	42.1032	20.9196	0	3	1000
0000000000000000000000000100000100000	PRESS	VENTALV	NA	NA	EXPCO2,KINKEDTUBE,MINVOL,PVSAT,SAO2,SHUNT,INTUBATION,DISCONNECT,MINVOLSET,VENTMACH,VENTTUBE,VENTLUNG,ARTCO2,HRBP,HREKG,HRSAT,CATECHOL,HR	39.9139	19.129	0	3	1000
0000011000000000000000000000000000000	LVFAILURE	STROKEVOLUME	NA	LVEDVOLUME	HISTORY,CO,BP,HYPOVOLEMIA,PAP	34.2702	7.16678	0	3	1000
0000000000000000000001100000000000000	PAP	PULMEMBOLUS	NA	NA	CVP,STROKEVOLUME,SHUNT	32.7084	3.782	0	3	1000
0000000000000000000000110000000000000	PULMEMBOLUS	SHUNT	NA	NA	PAP,PCWP,EXPCO2,MINVOL,SAO2,INTUBATION,PRESS,VENTLUNG,VENTALV,ARTCO2	30.0409	2.11113	0	3	1000
0001001000000000000000000000000000000	HYPOVOLEMIA	STROKEVOLUME	NA	LVEDVOLUME	PCWP,ANAPHYLAXIS,CO,BP,HISTORY,LVFAILURE,PAP	25.4608	9.75089	0	3	1000
0000000000000000100000000100000000000	KINKEDTUBE	PRESS	NA	NA	FIO2,EXPCO2,MINVOL,PVSAT,SAO2,SHUNT,INTUBATION,DISCONNECT,MINVOLSET,VENTMACH,VENTTUBE,VENTLUNG,VENTALV,ARTCO2	20.1273	6.36537	0	3	1000
0000000000000000001100000000000000000	FIO2	PVSAT	NA	NA	KINKEDTUBE,SAO2,HRBP,HREKG,HRSAT,EXPCO2,MINVOL,INTUBATION,PRESS,DISCONNECT,MINVOLSET,VENTMACH,VENTTUBE,VENTLUNG,VENTALV,ARTCO2,CATECHOL,HR,CO	19.8814	4.33187	0	3	1000
0000000000000000000010010000000000000	SAO2	SHUNT	NA	NA	HRBP,HREKG,HRSAT,EXPCO2,MINVOL,FIO2,PVSAT,INTUBATION,PRESS,DISCONNECT,MINVOLSET,VENTMACH,VENTTUBE,VENTLUNG,VENTALV,ARTCO2,CATECHOL,HR,PCWP,PAP,PULMEMBOLUS	15.8702	4.66296	0	3	1000
0000000000000110000000000000000000000	ANAPHYLAXIS	TPR	NA	NA	HYPOVOLEMIA,BP,HRBP,HREKG,HRSAT,CATECHOL,HR	11.4073	4.217	0	3	1000
0000000000001000000000000000000000010	INSUFFANESTH	CO	NA	NA	NA	0.483882	5.03467	0	1	1000
0000000000100000000000000000010000000	ERRCAUTER	VENTTUBE	NA	NA	NA	1.01018	6.66524	0	1	1000
0000000000001000000000000000000100000	INSUFFANESTH	VENTALV	NA	NA	NA	2.89601	6.88323	0	1	1000
0000000000000010000000000010000000000	TPR	DISCONNECT	NA	NA	NA	1.38944	5.1882	0	1	1000
0000000000001000000000000000000010000	INSUFFANESTH	ARTCO2	NA	NA	NA	0.891483	4.81774	0	1	1000
0000000000001000000000000000000001000	INSUFFANESTH	CATECHOL	NA	NA	NA	0.899432	2.45412	0	1	1000
0000000000001000000000000000000000100	INSUFFANESTH	HR	NA	NA	NA	1.24783	4.45967	0	1	1000
0000000000001000000000000000010000000	INSUFFANESTH	VENTTUBE	NA	NA	NA	5.09339	6.62323	0	1	1000
0000000000001000000000000000000000001	INSUFFANESTH	BP	NA	NA	NA	0.323037	5.17896	0	1	1000
0000000000000101000000000000000000000	ANAPHYLAXIS	EXPCO2	NA	NA	NA	0.912094	5.03819	0	1	1000
0000000000000100100000000000000000000	ANAPHYLAXIS	KINKEDTUBE	NA	NA	NA	0.337286	1.79125	0	1	1000
0000000000000100010000000000000000000	ANAPHYLAXIS	MINVOL	NA	NA	NA	0.943236	5.29411	0	1	1000
0000000000001000000000000000001000000	INSUFFANESTH	VENTLUNG	NA	NA	NA	2.15131	6.48267	0	1	1000
0000000000000100001000000000000000000	ANAPHYLAXIS	FIO2	NA	NA	NA	0.505006	1.87796	0	1	1000
0000000000001000000000000000100000000	INSUFFANESTH	VENTMACH	NA	NA	NA	2.27717	6.56335	0	1	1000
0000000000001000000000000001000000000	INSUFFANESTH	MINVOLSET	NA	NA	NA	0.958794	4.4872	0	1	1000
0000000000001000000000000010000000000	INSUFFANESTH	DISCONNECT	NA	NA	NA	1.02528	2.52499	0	1	1000
0000000000001000000000000100000000000	INSUFFANESTH	PRESS	NA	NA	NA	1.47934	7.0614	0	1	1000
0000000000001000000000001000000000000	INSUFFANESTH	INTUBATION	NA	NA	NA	2.56306	4.36483	0	1	1000
0000000000001000000000010000000000000	INSUFFANESTH	SHUNT	NA	NA	NA	1.11507	2.5207	0	1	1000
0000000000001000000000100000000000000	INSUFFANESTH	PULMEMBOLUS	NA	NA	NA	0.0919158	2.11542	0	1	1000
0000000000001000000001000000000000000	INSUFFANESTH	PAP	NA	NA	NA	1.8187	4.58689	0	1	1000
0000000000001000000010000000000000000	INSUFFANESTH	SAO2	NA	NA	NA	1.36278	4.67144	0	1	1000
0000000000001000000100000000000000000	INSUFFANESTH	PVSAT	NA	NA	NA	1.46748	4.6312	0	1	1000
0000000000001000001000000000000000000	INSUFFANESTH	FIO2	NA	NA	NA	0.149341	2.3734	0	1	1000
0000000000001000010000000000000000000	INSUFFANESTH	MINVOL	NA	NA	NA	1.39266	6.72539	0	1	1000
0000000000000100000000000000000100000	ANAPHYLAXIS	VENTALV	NA	NA	NA	4.11471	5.45195	0	1	1000
0000000000000010000010000000000000000	TPR	SAO2	NA	NA	NA	3.67003	9.6182	0	1	1000
0000000000000010000100000000000000000	TPR	PVSAT	NA	NA	NA	1.21282	9.53965	0	1	1000
0000000000000010001000000000000000000	TPR	FIO2	NA	NA	NA	1.26924	4.88887	0	1	1000
0000000000000010010000000000000000000	TPR	MINVOL	NA	NA	NA	1.71313	13.857	0	1	1000
0000000000000010000000100000000000000	TPR	PULMEMBOLUS	NA	NA	NA	1.04657	4.38331	0	1	1000
0000000000000010100000000000000000000	TPR	KINKEDTUBE	NA	NA	NA	0.0315853	4.71829	0	1	1000
0000000000000011000000000000000000000	TPR	EXPCO2	NA	NA	NA	1.8469	13.3502	0	1	1000
0000000000000010000000010000000000000	TPR	SHUNT	NA	NA	NA	0.0729104	5.17971	0	1	1000
0000000000000010000000001000000000000	TPR	INTUBATION	NA	NA	NA	1.52509	9.01311	0	1	1000
0000000000000010000000000100000000000	TPR	PRESS	NA	NA	NA	1.86283	14.5217	0	1	1000
0000000000000100000000000000000000010	ANAPHYLAXIS	CO	NA	NA	NA	2.22313	4.06348	0	1	1000
0000000000000100000000000000000000100	ANAPHYLAXIS	HR	NA	NA	NA	1.76511	3.48847	0	1	1000
0000000000000100000000000000000001000	ANAPHYLAXIS	CATECHOL	NA	NA	NA	0.740313	1.95868	0	1	1000
0000000000000100000000000000000010000	ANAPHYLAXIS	ARTCO2	NA	NA	NA	2.98249	3.84655	0	1	1000
0000000000000010000001000000000000000	TPR	PAP	NA	NA	NA	1.59268	9.44979	0	1	1000
0000000000000100000000000000001000000	ANAPHYLAXIS	VENTLUNG	NA	NA	NA	1.68045	5.05139	0	1	1000
0000000000000100000000000000010000000	ANAPHYLAXIS	VENTTUBE	NA	NA	NA	0.491896	5.19195	0	1	1000
0000000000000100000000000000100000000	ANAPHYLAXIS	VENTMACH	NA	NA	NA	1.14222	5.13207	0	1	1000
0000000000000100000000000001000000000	ANAPHYLAXIS	MINVOLSET	NA	NA	NA	0.65084	3.51601	0	1	1000
0000000000000100000000000010000000000	ANAPHYLAXIS	DISCONNECT	NA	NA	NA	5.64535e-05	2.02956	0	1	1000
0000000000000100000000000100000000000	ANAPHYLAXIS	PRESS	NA	NA	NA	0.600051	5.63012	0	1	1000
0000000000000100000000001000000000000	ANAPHYLAXIS	INTUBATION	NA	NA	NA	1.00238	3.39364	0	1	1000
0000000000000100000000010000000000000	ANAPHYLAXIS	SHUNT	NA	NA	NA	1.02574	2.02527	0	1	1000
0000000000000100000000100000000000000	ANAPHYLAXIS	PULMEMBOLUS	NA	NA	NA	0.151903	1.61999	0	1	1000
0000000000000010000000000001000000000	TPR	MINVOLSET	NA	NA	NA	1.83724	9.25332	0	1	1000
0000000000000100000001000000000000000	ANAPHYLAXIS	PAP	NA	NA	NA	0.56511	3.61569	0	1	1000
0000000000000100000010000000000000000	ANAPHYLAXIS	SAO2	NA	NA	NA	0.468659	3.70025	0	1	1000
0000000000000100000100000000000000000	ANAPHYLAXIS	PVSAT	NA	NA	NA	0.454826	3.66	0	1	1000
0000000001000000000000000000100000000	HREKG	VENTMACH	NA	NA	NA	9.96627	12.7452	0	1	1000
0000000000100000000000001000000000000	ERRCAUTER	INTUBATION	NA	NA	NA	1.66183	4.3931	0	1	1000
0000000000100000000000010000000000000	ERRCAUTER	SHUNT	NA	NA	NA	1.7444	2.53499	0	1	1000
0000000000100000000000100000000000000	ERRCAUTER	PULMEMBOLUS	NA	NA	NA	0.0560604	2.12971	0	1	1000
0000000000100000000001000000000000000	ERRCAUTER	PAP	NA	NA	NA	0.886341	4.61516	0	1	1000
0000000000100000000010000000000000000	ERRCAUTER	SAO2	NA	NA	NA	0.0239525	4.69971	0	1	1000
0000000000100000000100000000000000000	ERRCAUTER	PVSAT	NA	NA	NA	0.72115	4.65947	0	1	1000
0000000000100000001000000000000000000	ERRCAUTER	FIO2	NA	NA	NA	0.0706057	2.38769	0	1	1000
0000000000100000010000000000000000000	ERRCAUTER	MINVOL	NA	NA	NA	2.10432	6.76739	0	1	1000
0000000000100000100000000000000000000	ERRCAUTER	KINKEDTUBE	NA	NA	NA	0.0400843	2.30097	0	1	1000
0000000000100001000000000000000000000	ERRCAUTER	EXPCO2	NA	NA	NA	5.70479	6.51147	0	1	1000
0000000000100010000000000000000000000	ERRCAUTER	TPR	NA	NA	NA	0.391637	5.21647	0	1	1000
0000000000100100000000000000000000000	ERRCAUTER	ANAPHYLAXIS	NA	NA	NA	0.00195117	2.04384	0	1	1000
0000000000101000000000000000000000000	ERRCAUTER	INSUFFANESTH	NA	NA	NA	0.0146173	2.53928	0	1	1000
0000000000000000000000000000000100001	VENTALV	BP	NA	NA	NA	6.92939	14.1399	0	1	1000
0000000001000000000000000000010000000	HREKG	VENTTUBE	NA	NA	NA	7.65802	12.8675	0	1	1000
0000000000100000000000000100000000000	ERRCAUTER	PRESS	NA	NA	NA	3.5629	7.1034	0	1	1000
0000000001000000000000000001000000000	HREKG	MINVOLSET	NA	NA	NA	3.01342	8.72278	0	1	1000
0000000001000000000000000010000000000	HREKG	DISCONNECT	NA	NA	NA	1.47307	4.92055	0	1	1000
0000000001000000000000000100000000000	HREKG	PRESS	NA	NA	NA	1.42111	13.7321	0	1	1000
0000000001000000000000001000000000000	HREKG	INTUBATION	NA	NA	NA	1.10559	8.48257	0	1	1000
0000000001000000000000010000000000000	HREKG	SHUNT	NA	NA	NA	1.59067	4.91207	0	1	1000
0000000001000000000000100000000000000	HREKG	PULMEMBOLUS	NA	NA	NA	0.0647874	4.11567	0	1	1000
0000000001000000000001000000000000000	HREKG	PAP	NA	NA	NA	1.43824	8.91925	0	1	1000
0000000001000000001000000000000000000	HREKG	FIO2	NA	NA	NA	0.170278	4.62122	0	1	1000
0000000001000000010000000000000000000	HREKG	MINVOL	NA	NA	NA	10.4248	13.0674	0	1	1000
0000000001000000100000000000000000000	HREKG	KINKEDTUBE	NA	NA	NA	1.25571	4.45065	0	1	1000
0000000001000001000000000000000000000	HREKG	EXPCO2	NA	NA	NA	7.55688	12.5606	0	1	1000
0000000001000100000000000000000000000	HREKG	ANAPHYLAXIS	NA	NA	NA	1.61301	3.94936	0	1	1000
0000000001001000000000000000000000000	HREKG	INSUFFANESTH	NA	NA	NA	0.215566	4.92055	0	1	1000
0000000000000000000000000000000010001	ARTCO2	BP	NA	NA	NA	7.66793	9.88794	0	1	1000
0000000000000000000000000100000001000	PRESS	CATECHOL	NA	NA	NA	0.372833	6.85341	0	1	1000
0000000000010000001000000000000000000	HRSAT	FIO2	NA	NA	NA	0.202628	4.6302	0	1	1000
0000000000001001000000000000000000000	INSUFFANESTH	EXPCO2	NA	NA	NA	0.622842	6.46947	0	1	1000
0000000000001010000000000000000000000	INSUFFANESTH	TPR	NA	NA	NA	0.683479	5.1882	0	1	1000
0000000000001100000000000000000000000	INSUFFANESTH	ANAPHYLAXIS	NA	NA	NA	5.64535e-05	2.02956	0	1	1000
0000000000000000000000000000010000001	VENTTUBE	BP	NA	NA	NA	3.13216	13.6298	0	1	1000
0000000000010000000000000000010000000	HRSAT	VENTTUBE	NA	NA	NA	7.12315	12.8939	0	1	1000
0000000000010000000000000000100000000	HRSAT	VENTMACH	NA	NA	NA	12.1424	12.7717	0	1	1000
0000000000000000000000000000001000001	VENTLUNG	BP	NA	NA	NA	8.16585	13.354	0	1	1000
0000000000010000000000000001000000000	HRSAT	MINVOLSET	NA	NA	NA	3.29054	8.74055	0	1	1000
0000000000000000000000000000000100010	VENTALV	CO	NA	NA	NA	11.9908	13.7138	0	1	1000
0000000000010000000000000010000000000	HRSAT	DISCONNECT	NA	NA	NA	4.21146	4.92953	0	1	1000
0000000000010000000000000100000000000	HRSAT	PRESS	NA	NA	NA	3.74781	13.7585	0	1	1000
0000000000010000000000001000000000000	HRSAT	INTUBATION	NA	NA	NA	1.25972	8.50034	0	1	1000
0000000000010000000000010000000000000	HRSAT	SHUNT	NA	NA	NA	1.76886	4.92104	0	1	1000
0000000000010000000000100000000000000	HRSAT	PULMEMBOLUS	NA	NA	NA	0.061395	4.12464	0	1	1000
0000000000010000000001000000000000000	HRSAT	PAP	NA	NA	NA	1.21264	8.93702	0	1	1000
0000000000001000100000000000000000000	INSUFFANESTH	KINKEDTUBE	NA	NA	NA	0.0889209	2.28669	0	1	1000
0000000000010000010000000000000000000	HRSAT	MINVOL	NA	NA	NA	10.7829	13.0938	0	1	1000
0000000000010000100000000000000000000	HRSAT	KINKEDTUBE	NA	NA	NA	0.188619	4.45962	0	1	1000
0000000000010001000000000000000000000	HRSAT	EXPCO2	NA	NA	NA	9.12588	12.587	0	1	1000
0000000000010100000000000000000000000	HRSAT	ANAPHYLAXIS	NA	NA	NA	1.66688	3.95833	0	1	1000
0000000000011000000000000000000000000	HRSAT	INSUFFANESTH	NA	NA	NA	0.709372	4.92953	0	1	1000
0000000000100000000000000000000000001	ERRCAUTER	BP	NA	NA	NA	0.634606	5.20723	0	1	1000
0000000000100000000000000000000000010	ERRCAUTER	CO	NA	NA	NA	0.877609	5.06294	0	1	1000
0000000000100000000000000000000000100	ERRCAUTER	HR	NA	NA	NA	0.209393	4.48794	0	1	1000
0000000000100000000000000000000001000	ERRCAUTER	CATECHOL	NA	NA	NA	0.0225676	2.4684	0	1	1000
0000000000100000000000000000000010000	ERRCAUTER	ARTCO2	NA	NA	NA	0.179284	4.84601	0	1	1000
0000000000100000000000000000000100000	ERRCAUTER	VENTALV	NA	NA	NA	1.83009	6.92524	0	1	1000
0000000000100000000000000000001000000	ERRCAUTER	VENTLUNG	NA	NA	NA	1.36503	6.52467	0	1	1000
0000000000100000000000000000100000000	ERRCAUTER	VENTMACH	NA	NA	NA	1.66373	6.60536	0	1	1000
0000000000100000000000000001000000000	ERRCAUTER	MINVOLSET	NA	NA	NA	2.6632	4.51547	0	1	1000
0000000000100000000000000010000000000	ERRCAUTER	DISCONNECT	NA	NA	NA	0.394065	2.53928	0	1	1000
0000000000000000000001000100000000000	PAP	PRESS	NA	NA	NA	2.9074	12.7534	0	1	1000
0000000000000000000000100010000000000	PULMEMBOLUS	DISCONNECT	NA	NA	NA	0.695993	2.11542	0	1	1000
0000000000000000000000100100000000000	PULMEMBOLUS	PRESS	NA	NA	NA	0.520492	5.8729	0	1	1000
0000000000000000000000101000000000000	PULMEMBOLUS	INTUBATION	NA	NA	NA	1.11339	3.55995	0	1	1000
0000000000000000000001000000000000001	PAP	BP	NA	NA	NA	3.17094	9.43147	0	1	1000
0000000000000000000001000000000000010	PAP	CO	NA	NA	NA	7.78709	9.14529	0	1	1000
0000000000000000000001000000000000100	PAP	HR	NA	NA	NA	2.66316	8.01456	0	1	1000
0000000000000000000001000000000001000	PAP	CATECHOL	NA	NA	NA	0.0822715	4.44678	0	1	1000
0000000000000000000000000010100000000	DISCONNECT	VENTMACH	NA	NA	NA	1.1646	6.56335	0	1	1000
0000000000000000000001000000000010000	PAP	ARTCO2	NA	NA	NA	3.15319	8.71631	0	1	1000
0000000000000000000001000000000100000	PAP	VENTALV	NA	NA	NA	2.52482	12.3989	0	1	1000
0000000000000000000001000000001000000	PAP	VENTLUNG	NA	NA	NA	1.0092	11.613	0	1	1000
0000000000000000000001000000010000000	PAP	VENTTUBE	NA	NA	NA	3.38868	11.8888	0	1	1000
0000000000000000000001000000100000000	PAP	VENTMACH	NA	NA	NA	6.39151	11.7666	0	1	1000
0000000000000000000001000001000000000	PAP	MINVOLSET	NA	NA	NA	2.53753	8.06337	0	1	1000
0000000000000000000001000010000000000	PAP	DISCONNECT	NA	NA	NA	1.69487	4.58689	0	1	1000
0000000000000000000000100001000000000	PULMEMBOLUS	MINVOLSET	NA	NA	NA	1.46016	3.68232	0	1	1000
0000000000000000000001001000000000000	PAP	INTUBATION	NA	NA	NA	5.28351	7.82316	0	1	1000
0000000000000000000010000000000000001	SAO2	BP	NA	NA	NA	3.97793	9.59988	0	1	1000
0000000000000000000010000000000000010	SAO2	CO	NA	NA	NA	7.81985	9.3137	0	1	1000
0000000000000000000010100000000000000	SAO2	PULMEMBOLUS	NA	NA	NA	1.91083	3.86656	0	1	1000
0000000000000000000011000000000000000	SAO2	PAP	NA	NA	NA	2.46969	8.42825	0	1	1000
0000000000000000000100000000000000001	PVSAT	BP	NA	NA	NA	4.60196	9.52134	0	1	1000
0000000000000000000000000010000000100	DISCONNECT	HR	NA	NA	NA	3.05438	4.45967	0	1	1000
0000000000000000000100010000000000000	PVSAT	SHUNT	NA	NA	NA	3.96878	4.62271	0	1	1000
0000000000000000000100100000000000000	PVSAT	PULMEMBOLUS	NA	NA	NA	0.791716	3.82631	0	1	1000
